cohort,schoolid,schoolname,bar_ftlt,bar_ftst,bar_ptlt,bar_ptst,bar_emp,jda_ftlt,jda_ftst,jda_ptlt,jda_ptst,jda_emp,prof_ftlt,prof_ftst,prof_ptlt,prof_ptst,prof_emp,nprof_ftlt,nprof_ftst,nprof_ptlt,nprof_ptst,nprof_emp,undet_ftlt,undet_ftst,undet_ptlt,undet_ptst,undet_emp,lawfund_emp,gradsch_ft,emp_def,unemp_ns,unemp_seek,emp_stat_unk,total_grads,lt_emp,solo_ftlt,solo_ftst,solo_ptlt,solo_ptst,solo_emp,sz_1_10_ftlt,sz_1_10_ftst,sz_1_10_ptlt,sz_1_10_ptst,sz_1_10_emp,sz_11_25_ftlt,sz_11_25_ftst,sz_11_25_ptlt,sz_11_25_ptst,sz_11_25_emp,sz_26_50_ftlt,sz_26_50_ftst,sz_26_50_ptlt,sz_26_50_ptst,sz_26_50_emp,sz_51_100_ftlt,sz_51_100_ftst,sz_51_100_ptlt,sz_51_100_ptst,sz_51_100_emp,sz_101_250_ftlt,sz_101_250_ftst,sz_101_250_ptlt,sz_101_250_ptst,sz_101_250_emp,sz_251_500_ftlt,sz_251_500_ftst,sz_251_500_ptlt,sz_251_500_ptst,sz_251_500_emp,sz_501up_ftlt,sz_501up_ftst,sz_501up_ptlt,sz_501up_ptst,sz_501up_emp,sz_unk_ftlt,sz_unk_ftst,sz_unk_ptlt,sz_unk_ptst,sz_unk_emp,bsind_ftlt,bsind_ftst,bsind_ptlt,bsind_ptst,bsind_emp,gov_ftlt,gov_ftst,gov_ptlt,gov_ptst,gov_emp,pub_ftlt,pub_ftst,pub_ptlt,pub_ptst,pub_emp,fedclk_ftlt,fedclk_ftst,fedclk_ptlt,fedclk_ptst,fedclk_emp,locclk_ftlt,locclk_ftst,locclk_ptlt,locclk_ptst,locclk_emp,othclk_ftlt,acad_ftlt,acad_ftst,acad_ptlt,acad_ptst,acad_emp,unk_ftlt,unk_ftst,unk_ptlt,unk_ptst,unk_emp,total_ftlt,total_ftst,total_ptlt,total_ptst,total_emp_type,fundbar_ftlt,fundbar_ftst,fundbar_ptlt,fundbar_ptst,fundbar_emp,fundjda_ftlt,fundjda_ftst,fundjda_ptlt,fundjda_ptst,fundjda_emp,fundprof_ftlt,fundprof_ftst,fundprof_ptlt,fundprof_ptst,fundprof_emp,fundnprof_ftlt,fundnprof_ftst,fundnprof_ptlt,fundnprof_ptst,fundnprof_emp,funded_emp,state_emp1,state_emp1_num,state_emp2,state_emp2_num,state_emp3,state_emp3_num,foreign_emp_num
2021,48,LOYOLA UNIVERSITY-CHICAGO,168.0,2.0,0.0,0.0,170.0,27,0,0,1,28,6,0,1,0,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,3,2,19,3,236,202,1,0,0,0,1,41,0,0,1,42,16,0,0,0,16,6,0,0,0,6,7,0,0,0,7,7,0,0,0,7,7,0,0,0,7,28,0,0,0,28,0,0,0,0,0,37,0,1,0,38,14,1,0,0,15,21,0,0,0,21,3,1,0,0,4,,,,,,,1,0,0,0,1,0,0,0,0,0,201,2,1,1,205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Illinois,157.0,,,,,
2021,64,LOYOLA UNIVERSITY-NEW ORLEANS,105.0,4.0,2.0,1.0,112.0,17,1,2,1,21,3,1,1,2,7,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,2,2,0,0,7,0,152,130,1,0,0,0,1,24,0,2,2,28,19,0,0,0,19,11,0,1,0,12,10,0,0,0,10,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,6,1,0,0,7,12,3,1,1,17,11,1,1,1,14,11,1,0,0,12,4,0,0,0,4,,,,,,,5,0,0,2,7,0,0,0,0,0,126,6,5,6,143,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,Louisiana,100.0,,,,,
2021,66,"MAINE, UNIVERSITY OF",47.0,1.0,2.0,0.0,50.0,10,1,0,2,13,3,1,0,0,4,1.0,2.0,1.0,0.0,4.0,0,0,0,0,0,0,0,0,2,7,1,81,64,0,1,0,0,1,19,0,1,1,21,6,0,1,0,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,1,1,1,12,5,1,0,0,6,1,2,0,0,3,2,0,0,0,2,,,,,,,5,0,0,0,5,0,0,0,0,0,61,5,3,2,71,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Maine,56.0,,,,,
2021,163,MARQUETTE UNIVERSITY,157.0,4.0,1.0,0.0,162.0,13,0,0,1,14,3,0,0,0,3,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,2,2,5,2,192,175,1,0,0,0,1,52,0,1,1,54,26,0,0,0,26,4,0,0,0,4,2,0,0,0,2,7,0,0,0,7,8,0,0,0,8,11,0,0,0,11,0,0,0,0,0,21,1,0,0,22,21,2,0,0,23,12,0,0,0,12,2,0,0,0,2,,,,,,,3,0,0,0,3,0,0,0,0,0,174,4,1,1,180,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
2021,68,"MARYLAND, UNIVERSITY OF",148.0,3.0,1.0,0.0,152.0,34,3,2,0,39,3,0,1,0,4,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,3,1,6,0,206,190,0,0,0,0,0,23,1,0,0,24,4,0,1,0,5,4,0,0,0,4,2,0,0,0,2,5,0,0,0,5,5,0,0,0,5,17,0,0,0,17,0,0,0,0,0,16,0,2,0,18,29,1,1,0,31,10,1,1,0,12,9,1,0,0,10,,,,,,,9,0,0,0,9,0,0,0,0,0,185,6,5,0,196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Maryland,134.0,,,,,
2021,13,MCGEORGE SCHOOL OF LAW,108.0,1.0,3.0,0.0,112.0,34,0,1,0,35,1,0,4,0,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,22,4,180,151,0,0,0,0,0,45,0,2,0,47,11,0,0,0,11,16,0,0,0,16,6,0,0,0,6,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,1,0,7,27,0,0,0,27,20,1,2,0,23,1,0,0,0,1,,,,,,,2,1,3,0,6,0,0,0,0,0,143,2,8,0,153,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,California,131.0,Nevada,6.0,,,
2021,140,"MEMPHIS, UNIVERSITY OF",77.0,0.0,3.0,1.0,81.0,11,1,1,1,14,1,0,1,0,2,1.0,1.0,1.0,1.0,4.0,0,0,0,0,0,0,2,0,1,6,0,110,96,3,0,0,0,3,27,0,2,0,29,8,0,0,0,8,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,2,4,0,21,9,0,0,1,10,9,0,0,2,11,6,0,0,0,6,,,,,,,1,0,0,0,1,0,0,0,0,0,90,2,6,3,101,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Tennessee,71.0,,,,,
2021,40,MERCER UNIVERSITY,101.0,2.0,0.0,0.0,103.0,8,1,1,0,10,1,0,0,0,1,1.0,0.0,1.0,0.0,2.0,1,0,0,0,1,0,2,0,1,2,2,124,114,0,0,0,0,0,36,0,0,0,36,11,0,0,0,11,4,0,0,0,4,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,6,0,1,0,7,21,1,0,0,22,12,0,0,0,12,1,1,0,0,2,,,,,,,0,0,1,0,1,1,0,0,0,1,112,3,2,0,117,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Georgia,100.0,,,,,
2021,33,"MIAMI, UNIVERSITY OF",269.0,1.0,2.0,0.0,272.0,28,0,0,2,30,3,0,1,0,4,0.0,0.0,0.0,1.0,1.0,0,0,0,1,1,1,6,1,11,8,12,347,303,0,0,0,0,0,66,0,1,2,69,34,0,1,0,35,12,0,0,0,12,13,0,0,0,13,18,0,0,0,18,13,0,0,0,13,54,0,0,0,54,0,0,0,0,0,32,0,1,1,34,26,1,0,0,27,25,0,0,0,25,1,0,0,0,1,,,,,,,3,0,0,0,3,0,0,0,1,1,301,1,3,4,309,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,Florida,248.0,,,,,
2021,77,MICHIGAN STATE UNIVERSITY,139.0,0.0,0.0,0.0,139.0,31,1,3,0,35,2,0,0,1,3,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,3,1,1,2,11,7,203,176,0,0,0,0,0,39,0,2,0,41,21,0,0,0,21,8,0,0,0,8,8,1,0,0,9,7,0,0,0,7,2,0,0,0,2,10,0,0,0,10,0,0,0,1,1,27,0,0,0,27,18,0,0,0,18,21,2,1,0,24,5,0,0,0,5,,,,,,,2,1,0,0,3,0,0,0,0,0,173,4,3,1,181,0.0,0.0,0.0,0.0,0.0,0,3,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,Michigan,105.0,,,,,
2021,76,"MICHIGAN, UNIVERSITY OF",331.0,2.0,0.0,0.0,333.0,7,1,0,0,8,2,0,0,0,2,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,10,3,0,2,4,0,363,341,0,0,0,0,0,6,0,0,0,6,4,0,0,0,4,4,0,0,0,4,5,0,0,0,5,12,0,0,0,12,23,0,0,0,23,165,0,0,0,165,0,0,0,0,0,6,1,1,0,8,16,0,0,0,16,42,3,1,0,46,39,1,0,0,40,,,,,,1.0,2,1,0,0,3,0,0,0,0,0,346,6,2,0,354,6.0,3.0,0.0,0.0,9.0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,New York,88.0,,,,,
