SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,CAPITAL UNIVERSITY,11.0,41.0,52.0,12.0,15.0,27.0,0.0,0.0,0.0,4.0,9.0,13.0,23.0,56.0,79.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,CARDOZO SCHOOL OF LAW,36.0,130.0,166.0,30.0,116.0,146.0,0.0,0.0,0.0,10.0,30.0,40.0,66.0,246.0,312.0,7.0,3.0,10,,,,,,,,,,,,,,,,,,,,
,2022,CASE WESTERN RESERVE UNIVERSITY,24.0,51.0,75.0,15.0,24.0,39.0,0.0,0.0,0.0,5.0,7.0,12.0,39.0,75.0,114.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,CATHOLIC UNIVERSITY OF AMERICA,9.0,51.0,60.0,15.0,24.0,39.0,0.0,0.0,0.0,5.0,4.0,9.0,24.0,75.0,99.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,CHAPMAN UNIVERSITY,20.0,40.0,60.0,16.0,31.0,47.0,0.0,0.0,0.0,6.0,12.0,18.0,36.0,71.0,107.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,CHARLESTON SCHOOL OF LAW,11.0,35.0,46.0,13.0,22.0,35.0,0.0,0.0,0.0,3.0,6.0,9.0,24.0,57.0,81.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,"CHICAGO, UNIVERSITY OF",46.0,81.0,127.0,30.0,25.0,55.0,0.0,0.0,0.0,18.0,15.0,33.0,76.0,106.0,182.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,CHICAGO-KENT COLLEGE OF LAW-IIT,26.0,71.0,97.0,22.0,29.0,51.0,0.0,0.0,0.0,10.0,16.0,26.0,48.0,100.0,148.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,"CINCINNATI, UNIVERSITY OF",16.0,32.0,48.0,22.0,19.0,41.0,0.0,0.0,0.0,5.0,6.0,11.0,38.0,51.0,89.0,7.0,0.0,7,,,,,,,,,,,,,,,,,,,,
,2022,CITY UNIVERSITY OF NEW YORK,18.0,8.0,26.0,38.0,27.0,65.0,0.0,1.0,1.0,25.0,20.0,45.0,56.0,36.0,92.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,CLEVELAND STATE UNIVERSITY,17.0,38.0,55.0,14.0,24.0,38.0,0.0,0.0,0.0,4.0,8.0,12.0,31.0,62.0,93.0,7.0,0.0,7,,,,,,,,,,,,,,,,,,,,
,2022,"COLORADO, UNIVERSITY OF",31.0,29.0,60.0,24.0,17.0,41.0,0.0,0.0,0.0,11.0,4.0,15.0,56.0,46.0,102.0,9.0,0.0,9,,,,,,,,,,,,,,,,,,,,
,2022,COLUMBIA UNIVERSITY,64.0,165.0,229.0,47.0,127.0,174.0,0.0,0.0,0.0,23.0,50.0,73.0,111.0,292.0,403.0,19.0,1.0,20,,,,,,,,,,,,,,,,,,,,
,2022,"CONNECTICUT, UNIVERSITY OF",24.0,69.0,93.0,24.0,34.0,58.0,0.0,0.0,0.0,9.0,12.0,21.0,48.0,103.0,151.0,10.0,0.0,10,,,,,,,,,,,,,,,,,,,,
,2022,CORNELL UNIVERSITY,44.0,74.0,118.0,31.0,46.0,77.0,0.0,1.0,1.0,17.0,8.0,25.0,75.0,121.0,196.0,9.0,1.0,10,,,,,,,,,,,,,,,,,,,,
,2022,CREIGHTON UNIVERSITY,16.0,23.0,39.0,12.0,14.0,26.0,0.0,0.0,0.0,3.0,5.0,8.0,28.0,37.0,65.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"DAYTON, UNIVERSITY OF",12.0,38.0,50.0,18.0,31.0,49.0,0.0,0.0,0.0,7.0,12.0,19.0,30.0,69.0,99.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"DENVER, UNIVERSITY OF",28.0,63.0,91.0,32.0,38.0,70.0,0.0,1.0,1.0,13.0,7.0,20.0,60.0,102.0,162.0,6.0,1.0,7,,,,,,,,,,,,,,,,,,,,
,2022,DEPAUL UNIVERSITY,20.0,48.0,68.0,15.0,50.0,65.0,1.0,3.0,4.0,7.0,29.0,36.0,36.0,101.0,137.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,"DETROIT MERCY, UNIVERSITY OF",8.0,36.0,44.0,15.0,30.0,45.0,0.0,0.0,0.0,5.0,9.0,14.0,23.0,66.0,89.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,DISTRICT OF COLUMBIA,10.0,10.0,20.0,13.0,13.0,26.0,0.0,0.0,0.0,11.0,13.0,24.0,23.0,23.0,46.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,DRAKE UNIVERSITY,16.0,22.0,38.0,12.0,28.0,40.0,0.0,0.0,0.0,4.0,8.0,12.0,28.0,50.0,78.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
