School Name,SchoolYear,Graduate Year,Total Graduates,Graduates who did not take the bar,Graduates with No Information,First Time Takers from Prior Years,Total First Time Takers,Total First Time Passers,Grads Admitted via Alternative Pathways,AvgSchoolPassPercent*,AvgStatePassPercent**,TotalDifferencePercent***,Pass % including Grads Admitted via Alternative Pathways,Graduates In 2022,Graduates who did not take the bar in 2022,Number of Early-Takers,Grads Admitted via Diploma Privilege,Pass % including Grads Admitted via Diploma Privilege,Graduates In 2023,Graduates who did not take the bar in 2023,Graduates who took bar exam before graduation,Graduates who took bar exam after graduation,Graduates In 2024,Graduates who did not take the bar in 2024
CHICAGO-KENT COLLEGE OF LAW-IIT,2022,2021.0,232.0,26.0,25.0,32.0,213.0,159.0,0.0,74.65%,77.07%,-2.42%,74.65%,,,,,,,,,,,
"CINCINNATI, UNIVERSITY OF",2022,2021.0,124.0,13.0,4.0,4.0,111.0,94.0,0.0,84.69%,78.87%,5.82%,84.68%,,,,,,,,,,,
CITY UNIVERSITY OF NEW YORK,2022,2021.0,188.0,7.0,0.0,11.0,192.0,141.0,0.0,73.44%,84.96%,-11.52%,73.44%,,,,,,,,,,,
CLEVELAND STATE UNIVERSITY,2022,2021.0,124.0,8.0,7.0,18.0,127.0,101.0,0.0,79.53%,79.24%,0.29%,79.53%,,,,,,,,,,,
"COLORADO, UNIVERSITY OF",2022,2021.0,170.0,23.0,0.0,25.0,172.0,146.0,1.0,84.88%,75.87%,9.01%,84.97%,,,,,,,,,,,
COLUMBIA UNIVERSITY,2022,2021.0,461.0,18.0,1.0,18.0,460.0,444.0,0.0,96.52%,84.22%,12.30%,96.52%,,,,,,,,,,,
"CONNECTICUT, UNIVERSITY OF",2022,2021.0,136.0,24.0,0.0,13.0,125.0,97.0,0.0,77.60%,75.09%,2.51%,77.60%,,,,,,,,,,,
CORNELL UNIVERSITY,2022,2021.0,192.0,6.0,2.0,9.0,193.0,178.0,0.0,92.23%,83.03%,9.20%,92.23%,,,,,,,,,,,
CREIGHTON UNIVERSITY,2022,2021.0,105.0,15.0,0.0,11.0,101.0,66.0,0.0,65.34%,74.11%,-8.77%,65.35%,,,,,,,,,,,
"DAYTON, UNIVERSITY OF",2022,2021.0,65.0,13.0,0.0,9.0,61.0,43.0,0.0,70.49%,77.82%,-7.33%,70.49%,,,,,,,,,,,
"DENVER, UNIVERSITY OF",2022,2021.0,243.0,42.0,0.0,33.0,234.0,186.0,0.0,79.48%,76.01%,3.47%,79.49%,,,,,,,,,,,
DEPAUL UNIVERSITY,2022,2021.0,196.0,12.0,19.0,14.0,179.0,122.0,0.0,68.15%,76.87%,-8.72%,68.16%,,,,,,,,,,,
"DETROIT MERCY, UNIVERSITY OF",2022,2021.0,178.0,85.0,0.0,16.0,109.0,77.0,0.0,70.64%,73.38%,-2.74%,70.64%,,,,,,,,,,,
DISTRICT OF COLUMBIA,2022,2021.0,44.0,17.0,0.0,13.0,40.0,13.0,0.0,32.50%,78.68%,-46.18%,32.50%,,,,,,,,,,,
DRAKE UNIVERSITY,2022,2021.0,101.0,23.0,0.0,24.0,102.0,81.0,0.0,79.41%,74.29%,5.12%,79.41%,,,,,,,,,,,
DREXEL UNIVERSITY,2022,2021.0,162.0,12.0,2.0,18.0,166.0,130.0,0.0,78.31%,74.22%,4.09%,78.31%,,,,,,,,,,,
DUKE UNIVERSITY,2022,2021.0,244.0,10.0,1.0,18.0,251.0,244.0,0.0,97.21%,80.67%,16.54%,97.21%,,,,,,,,,,,
DUQUESNE UNIVERSITY,2022,2021.0,157.0,0.0,6.0,2.0,153.0,129.0,0.0,84.32%,75.19%,9.13%,84.31%,,,,,,,,,,,
ELON UNIVERSITY,2022,2021.0,127.0,127.0,0.0,119.0,119.0,93.0,0.0,78.15%,79.05%,-0.90%,78.15%,,,,,,,,,,,
EMORY UNIVERSITY,2022,2021.0,279.0,21.0,10.0,21.0,269.0,243.0,0.0,90.33%,79.37%,10.96%,90.33%,,,,,,,,,,,
FAULKNER UNIVERSITY,2022,2021.0,61.0,15.0,0.0,4.0,50.0,36.0,0.0,72.00%,79.21%,-7.21%,72.00%,,,,,,,,,,,
FLORIDA A&M UNIVERSITY,2022,2021.0,156.0,35.0,6.0,29.0,144.0,81.0,0.0,56.25%,71.92%,-15.67%,56.25%,,,,,,,,,,,
FLORIDA INTERNATIONAL UNIVERSITY,2022,2021.0,158.0,39.0,0.0,24.0,143.0,124.0,0.0,86.72%,69.91%,16.81%,86.71%,,,,,,,,,,,
FLORIDA STATE UNIVERSITY,2022,2021.0,222.0,25.0,2.0,14.0,209.0,155.0,0.0,74.16%,70.50%,3.66%,74.16%,,,,,,,,,,,
"FLORIDA, UNIVERSITY OF",2022,2021.0,278.0,43.0,0.0,36.0,271.0,224.0,0.0,82.66%,71.20%,11.46%,82.66%,,,,,,,,,,,
FORDHAM UNIVERSITY,2022,2021.0,404.0,17.0,0.0,12.0,399.0,374.0,0.0,93.74%,85.33%,8.41%,93.73%,,,,,,,,,,,
GEORGE MASON UNIVERSITY,2022,2021.0,154.0,20.0,2.0,28.0,160.0,145.0,0.0,90.62%,78.54%,12.08%,90.63%,,,,,,,,,,,
GEORGE WASHINGTON UNIVERSITY,2022,2021.0,569.0,2.0,119.0,40.0,489.0,457.0,0.0,93.46%,80.50%,12.96%,93.46%,,,,,,,,,,,
GEORGETOWN UNIVERSITY,2022,2021.0,674.0,16.0,41.0,62.0,679.0,633.0,0.0,93.23%,80.62%,12.61%,93.23%,,,,,,,,,,,
GEORGIA STATE UNIVERSITY,2022,2021.0,224.0,49.0,10.0,9.0,174.0,146.0,0.0,83.90%,78.24%,5.66%,83.91%,,,,,,,,,,,
"GEORGIA, UNIVERSITY OF",2022,2021.0,200.0,15.0,0.0,7.0,192.0,180.0,0.0,93.75%,77.79%,15.96%,93.75%,,,,,,,,,,,
GOLDEN GATE UNIVERSITY,2022,2021.0,172.0,27.0,3.0,12.0,154.0,54.0,0.0,35.07%,76.97%,-41.90%,35.06%,,,,,,,,,,,
