SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
,2022,"ILLINOIS, UNIVERSITY OF",1,2.0,0.0,0.0,0.0,,,
,2022,INDIANA UNIVERSITY - BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,
,2022,INDIANA UNIVERSITY - INDIANAPOLIS,1,0.0,0.0,0.0,0.0,,,
,2022,INTER AMERICAN UNIVERSITY OF PUERTO RICO,2,2.0,0.0,0.0,0.0,,,
,2022,"IOWA, UNIVERSITY OF",3,3.0,0.0,0.0,0.0,,,
,2022,"KANSAS, UNIVERSITY OF",1,1.0,0.0,0.0,0.0,,,
,2022,"KENTUCKY, UNIVERSITY OF",3,3.0,0.0,0.0,0.0,,,
,2022,LEWIS AND CLARK COLLEGE,3,8.0,0.0,3.29,0.0,,,
,2022,LIBERTY UNIVERSITY,2,3.0,0.0,0.0,0.0,,,
,2022,LINCOLN MEMORIAL,6,2.0,0.0,0.0,0.0,,,
,2022,LOUISIANA STATE UNIVERSITY,5,2.0,0.0,0.0,0.0,,,
,2022,"LOUISVILLE, UNIVERSITY OF",5,2.0,0.0,0.0,0.0,,,
,2022,LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,9,21.0,3.45,3.29,3.1,,,
,2022,LOYOLA UNIVERSITY-CHICAGO,13,0.0,0.0,0.0,0.0,,,
,2022,LOYOLA UNIVERSITY-NEW ORLEANS,3,3.0,0.0,0.0,0.0,,,
,2022,"MAINE, UNIVERSITY OF",1,3.0,0.0,0.0,0.0,,,
,2022,MARQUETTE UNIVERSITY,7,4.0,0.0,0.0,0.0,,,
,2022,"MARYLAND, UNIVERSITY OF",15,8.0,0.0,3.41,0.0,,,
,2022,MCGEORGE SCHOOL OF LAW,2,3.0,0.0,0.0,0.0,,,
,2022,"MEMPHIS, UNIVERSITY OF",0,2.0,0.0,0.0,0.0,,,
,2022,MERCER UNIVERSITY,7,0.0,0.0,0.0,0.0,,,
,2022,"MIAMI, UNIVERSITY OF",15,27.0,3.52,3.35,3.22,,,
,2022,MICHIGAN STATE UNIVERSITY,8,2.0,0.0,0.0,0.0,,,
,2022,"MICHIGAN, UNIVERSITY OF",3,12.0,3.87,3.77,3.7,,,
,2022,"MINNESOTA, UNIVERSITY OF",4,6.0,0.0,3.33,0.0,,,
,2022,MISSISSIPPI COLLEGE,3,0.0,0.0,0.0,0.0,,,
,2022,"MISSISSIPPI, UNIVERSITY OF",3,5.0,0.0,0.0,0.0,,,
,2022,"MISSOURI, UNIVERSITY OF",5,3.0,0.0,0.0,0.0,,,
