SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
UNIVERSITY OF BUFFALO-SUNY,2022,465.0,100.0,465.0,100.0,0.0,0.0,424.0,91.0,424.0,91.0,0.0,0.0,284.0,61.0,284.0,61.0,0.0,0.0,133.0,29.0,133.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,"16,660","10,092","5,897",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",2022,1087.0,100.0,1087.0,100.0,0.0,0.0,954.0,88.0,954.0,88.0,0.0,0.0,631.0,58.0,631.0,58.0,0.0,0.0,299.0,28.0,299.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,24.0,2.0,0.0,0.0,"25,000","15,000","10,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2022,1045.0,100.0,834.0,80.0,211.0,20.0,643.0,62.0,540.0,65.0,103.0,49.0,290.0,28.0,250.0,30.0,40.0,19.0,344.0,33.0,282.0,34.0,62.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,1.0,0.0,"33,750","22,500","9,600","20,400","13,800","6,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2022,365.0,100.0,286.0,78.0,79.0,22.0,320.0,88.0,252.0,88.0,68.0,86.0,226.0,62.0,175.0,61.0,51.0,65.0,71.0,19.0,61.0,21.0,10.0,13.0,20.0,5.0,14.0,5.0,6.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,"20,000","14,718","7,859","15,000","8,944","4,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF NEVADA - LAS VEGAS,2022,449.0,100.0,380.0,85.0,69.0,15.0,307.0,68.0,283.0,74.0,24.0,35.0,92.0,20.0,80.0,21.0,12.0,17.0,125.0,28.0,115.0,30.0,10.0,14.0,52.0,12.0,51.0,13.0,1.0,1.0,38.0,8.0,37.0,10.0,1.0,1.0,"26,900","17,935","8,970","13,450","9,630","4,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNT DALLAS COLLEGE OF LAW,2022,380.0,100.0,232.0,61.0,148.0,39.0,322.0,85.0,199.0,86.0,123.0,83.0,315.0,83.0,198.0,85.0,117.0,79.0,5.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,100","3,125","2,125","3,125","2,125",625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UTAH, UNIVERSITY OF",2022,288.0,100.0,288.0,100.0,0.0,0.0,227.0,79.0,227.0,79.0,0.0,0.0,64.0,22.0,64.0,22.0,0.0,0.0,124.0,43.0,124.0,43.0,0.0,0.0,19.0,7.0,19.0,7.0,0.0,0.0,20.0,7.0,20.0,7.0,0.0,0.0,"30,462","17,914","13,251",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT UNIVERSITY,2022,544.0,100.0,544.0,100.0,0.0,0.0,460.0,85.0,460.0,85.0,0.0,0.0,261.0,48.0,261.0,48.0,0.0,0.0,189.0,35.0,189.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,"39,375","32,000","25,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERMONT LAW SCHOOL,2022,429.0,100.0,429.0,100.0,0.0,0.0,424.0,99.0,424.0,99.0,0.0,0.0,177.0,41.0,177.0,41.0,0.0,0.0,215.0,50.0,215.0,50.0,0.0,0.0,34.0,8.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"36,446","28,000","17,460",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLANOVA UNIVERSITY,2022,580.0,100.0,580.0,100.0,0.0,0.0,497.0,86.0,497.0,86.0,0.0,0.0,143.0,25.0,143.0,25.0,0.0,0.0,260.0,45.0,260.0,45.0,0.0,0.0,93.0,16.0,93.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"44,000","35,000","20,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIRGINIA, UNIVERSITY OF",2022,922.0,100.0,922.0,100.0,0.0,0.0,627.0,68.0,627.0,68.0,0.0,0.0,419.0,45.0,419.0,45.0,0.0,0.0,153.0,17.0,153.0,17.0,0.0,0.0,48.0,5.0,48.0,5.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,"40,000","22,500","15,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE FOREST UNIVERSITY,2022,461.0,100.0,461.0,100.0,0.0,0.0,430.0,93.0,430.0,93.0,0.0,0.0,147.0,32.0,147.0,32.0,0.0,0.0,252.0,55.0,252.0,55.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,28.0,6.0,28.0,6.0,0.0,0.0,"44,000","38,000","20,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHBURN UNIVERSITY,2022,345.0,100.0,345.0,100.0,0.0,0.0,252.0,73.0,252.0,73.0,0.0,0.0,103.0,30.0,103.0,30.0,0.0,0.0,105.0,30.0,105.0,30.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,39.0,11.0,39.0,11.0,0.0,0.0,"23,861","17,000","8,510",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON AND LEE UNIVERSITY,2022,379.0,100.0,379.0,100.0,0.0,0.0,365.0,96.0,365.0,96.0,0.0,0.0,123.0,32.0,123.0,32.0,0.0,0.0,242.0,64.0,242.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37,500","35,000","17,500",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON UNIVERSITY,2022,744.0,100.0,744.0,100.0,0.0,0.0,710.0,95.0,710.0,95.0,0.0,0.0,105.0,14.0,105.0,14.0,0.0,0.0,436.0,59.0,436.0,59.0,0.0,0.0,85.0,11.0,85.0,11.0,0.0,0.0,84.0,11.0,84.0,11.0,0.0,0.0,"54,750","40,000","35,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WASHINGTON, UNIVERSITY OF",2022,492.0,100.0,492.0,100.0,0.0,0.0,378.0,77.0,378.0,77.0,0.0,0.0,345.0,70.0,345.0,70.0,0.0,0.0,17.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,16.0,3.0,0.0,0.0,"15,000","12,000","6,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE STATE UNIVERSITY,2022,382.0,100.0,344.0,90.0,38.0,10.0,302.0,79.0,273.0,79.0,29.0,76.0,45.0,12.0,40.0,12.0,5.0,13.0,100.0,26.0,94.0,27.0,6.0,16.0,135.0,35.0,118.0,34.0,17.0,45.0,22.0,6.0,21.0,6.0,1.0,3.0,"35,259","26,714","20,000","19,916","15,700","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST VIRGINIA UNIVERSITY,2022,334.0,100.0,334.0,100.0,0.0,0.0,283.0,85.0,280.0,84.0,3.0,0.0,189.0,57.0,186.0,56.0,3.0,0.0,52.0,16.0,52.0,16.0,0.0,0.0,24.0,7.0,24.0,7.0,0.0,0.0,18.0,5.0,18.0,5.0,0.0,0.0,"15,732","10,015","5,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN NEW ENGLAND UNIVERSITY,2022,338.0,100.0,233.0,69.0,105.0,31.0,301.0,89.0,210.0,90.0,91.0,87.0,81.0,24.0,50.0,21.0,31.0,30.0,193.0,57.0,148.0,64.0,45.0,43.0,27.0,8.0,12.0,5.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,"32,000","29,000","24,000","25,000","20,000","13,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN STATE COLLEGE OF LAW,2022,242.0,100.0,158.0,65.0,84.0,35.0,190.0,79.0,132.0,84.0,58.0,69.0,74.0,31.0,53.0,34.0,21.0,25.0,115.0,48.0,78.0,49.0,37.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"34,000","23,000","12,000","24,000","20,000","8,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIDENER UNIVERSITY-DELAWARE,2022,680.0,100.0,540.0,79.0,140.0,21.0,670.0,99.0,513.0,95.0,157.0,112.0,371.0,55.0,237.0,44.0,134.0,96.0,296.0,44.0,273.0,51.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,"34,000","28,000","23,000","16,600","13,000","9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIDENER-COMMONWEALTH,2022,338.0,100.0,257.0,76.0,81.0,24.0,312.0,92.0,234.0,91.0,78.0,96.0,178.0,53.0,128.0,50.0,50.0,62.0,120.0,36.0,95.0,37.0,25.0,31.0,14.0,4.0,11.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,000","24,000","13,000","20,000","15,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLAMETTE UNIVERSITY,2022,335.0,100.0,335.0,100.0,0.0,0.0,264.0,79.0,257.0,77.0,7.0,0.0,158.0,47.0,152.0,45.0,6.0,0.0,75.0,22.0,75.0,22.0,0.0,0.0,29.0,9.0,29.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,"30,000","20,000","10,000","16,000","7,667","4,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAM AND MARY LAW SCHOOL,2022,622.0,100.0,622.0,100.0,0.0,0.0,602.0,97.0,602.0,97.0,0.0,0.0,208.0,33.0,208.0,33.0,0.0,0.0,380.0,61.0,380.0,61.0,0.0,0.0,12.0,2.0,12.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,"30,591","25,193","19,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WISCONSIN, UNIVERSITY OF",2022,758.0,100.0,758.0,100.0,0.0,0.0,690.0,91.0,690.0,91.0,0.0,0.0,222.0,29.0,222.0,29.0,0.0,0.0,427.0,56.0,427.0,56.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,38.0,5.0,38.0,5.0,0.0,0.0,"42,000","25,000","13,500",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WYOMING, UNIVERSITY OF",2022,237.0,100.0,237.0,100.0,0.0,0.0,195.0,82.0,195.0,82.0,0.0,0.0,149.0,63.0,149.0,63.0,0.0,0.0,36.0,15.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,0.0,"9,805","6,000","4,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YALE UNIVERSITY,2022,636.0,100.0,636.0,100.0,0.0,0.0,410.0,64.0,410.0,64.0,0.0,0.0,234.0,37.0,234.0,37.0,0.0,0.0,174.0,27.0,174.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,"40,640","31,120","22,515",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, The University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,000","$10,000","$4,000","$8,500","$4,200","$2,000",474.0,100.0,351.0,74.0,123.0,26.0,412.0,87.0,324.0,92.0,88.0,72.0,252.0,53.0,186.0,53.0,66.0,54.0,155.0,33.0,134.0,38.0,21.0,17.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
"Alabama, The University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,080","$22,000","$12,250",$0,$0,$0,425.0,100.0,425.0,100.0,0.0,0.0,387.0,91.0,387.0,91.0,0.0,,113.0,27.0,113.0,27.0,0.0,,163.0,38.0,163.0,38.0,0.0,,20.0,5.0,20.0,5.0,0.0,,91.0,21.0,91.0,21.0,0.0,
Albany Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$36,000","$20,000",$0,$0,$0,587.0,100.0,587.0,100.0,0.0,0.0,543.0,93.0,543.0,93.0,0.0,,204.0,35.0,204.0,35.0,0.0,,262.0,45.0,262.0,45.0,0.0,,56.0,10.0,56.0,10.0,0.0,,21.0,4.0,21.0,4.0,0.0,
American University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$40,000","$32,000","$32,000","$32,000","$30,000",1167.0,100.0,976.0,84.0,191.0,16.0,827.0,71.0,701.0,72.0,126.0,66.0,172.0,15.0,154.0,16.0,18.0,9.0,531.0,46.0,438.0,45.0,93.0,49.0,123.0,11.0,108.0,11.0,15.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Appalachian School of Law,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,000","$20,500","$7,250",$0,$0,$0,161.0,100.0,161.0,100.0,0.0,0.0,129.0,80.0,129.0,80.0,0.0,,46.0,29.0,46.0,29.0,0.0,,33.0,20.0,33.0,20.0,0.0,,4.0,2.0,4.0,2.0,0.0,,46.0,29.0,46.0,29.0,0.0,
Arizona State University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,163","$20,000","$6,000",$0,$0,$0,853.0,100.0,853.0,100.0,0.0,0.0,786.0,92.0,786.0,92.0,0.0,,378.0,44.0,378.0,44.0,0.0,,304.0,36.0,304.0,36.0,0.0,,81.0,9.0,81.0,9.0,0.0,,23.0,3.0,23.0,3.0,0.0,
"Arizona, The University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,600","$24,500","$14,250",$0,$0,$0,370.0,100.0,370.0,100.0,0.0,0.0,361.0,98.0,361.0,98.0,0.0,,43.0,12.0,43.0,12.0,0.0,,89.0,24.0,89.0,24.0,0.0,,40.0,11.0,40.0,11.0,0.0,,189.0,51.0,189.0,51.0,0.0,
"Arkansas at Little Rock, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,310","$6,676","$3,338","$6,676","$4,451","$2,225",449.0,100.0,338.0,75.0,111.0,25.0,278.0,62.0,223.0,66.0,55.0,50.0,151.0,34.0,113.0,33.0,38.0,34.0,119.0,27.0,102.0,30.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0
"Arkansas, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,000","$9,000","$5,000","$4,150","$1,700",$400,369.0,100.0,369.0,100.0,0.0,0.0,283.0,77.0,283.0,77.0,0.0,,146.0,40.0,146.0,40.0,0.0,,128.0,35.0,128.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.0,2.0,9.0,2.0,0.0,
Atlanta's John Marshall Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,000","$3,969",$269,"$7,790","$1,012",$269,340.0,100.0,226.0,66.0,114.0,34.0,342.0,101.0,228.0,101.0,114.0,100.0,244.0,72.0,150.0,66.0,94.0,82.0,87.0,26.0,70.0,31.0,17.0,15.0,11.0,3.0,8.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ave Maria School of Law,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,000","$34,500","$22,000",$0,$0,$0,312.0,100.0,312.0,100.0,0.0,0.0,211.0,68.0,211.0,68.0,0.0,,89.0,29.0,89.0,29.0,0.0,,112.0,36.0,112.0,36.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,3.0,10.0,3.0,0.0,
"Baltimore, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,000","$15,000","$7,500","$20,000","$11,750","$5,000",709.0,100.0,500.0,71.0,209.0,29.0,487.0,69.0,384.0,77.0,103.0,49.0,296.0,42.0,239.0,48.0,57.0,27.0,170.0,24.0,135.0,27.0,35.0,17.0,12.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Barry University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,752","$16,752","$3,752","$13,002","$2,375",$752,789.0,100.0,624.0,79.0,165.0,21.0,793.0,101.0,533.0,85.0,260.0,158.0,561.0,71.0,344.0,55.0,217.0,132.0,232.0,29.0,189.0,30.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baylor University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,782","$33,000","$12,000",$0,$0,$0,467.0,100.0,467.0,100.0,0.0,0.0,414.0,89.0,414.0,89.0,0.0,,19.0,4.0,19.0,4.0,0.0,,182.0,39.0,182.0,39.0,0.0,,100.0,21.0,100.0,21.0,0.0,,113.0,24.0,113.0,24.0,0.0,
Belmont University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,500","$37,875","$25,250",$0,$0,$0,351.0,100.0,351.0,100.0,0.0,0.0,213.0,61.0,213.0,61.0,0.0,,36.0,10.0,36.0,10.0,0.0,,101.0,29.0,101.0,29.0,0.0,,76.0,22.0,76.0,22.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston College,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000","$21,000","$18,000",$0,$0,$0,808.0,100.0,808.0,100.0,0.0,0.0,786.0,97.0,786.0,97.0,0.0,,666.0,82.0,666.0,82.0,0.0,,117.0,14.0,117.0,14.0,0.0,,8.0,1.0,8.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,000","$33,000","$25,000",$0,$0,$0,759.0,100.0,759.0,100.0,0.0,0.0,673.0,89.0,673.0,89.0,0.0,,328.0,43.0,328.0,43.0,0.0,,200.0,26.0,200.0,26.0,0.0,,141.0,19.0,141.0,19.0,0.0,,4.0,1.0,4.0,1.0,0.0,
Brigham Young University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,636","$14,636","$5,000",$0,$0,$0,384.0,100.0,384.0,100.0,0.0,0.0,342.0,89.0,342.0,89.0,0.0,,104.0,27.0,104.0,27.0,0.0,,46.0,12.0,46.0,12.0,0.0,,73.0,19.0,73.0,19.0,0.0,,119.0,31.0,119.0,31.0,0.0,
Brooklyn Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,000","$33,800","$23,000","$36,000","$28,000","$18,000",1198.0,100.0,1099.0,92.0,99.0,8.0,1112.0,93.0,1019.0,93.0,93.0,94.0,538.0,45.0,496.0,45.0,42.0,42.0,540.0,45.0,492.0,45.0,48.0,48.0,27.0,2.0,24.0,2.0,3.0,3.0,7.0,1.0,7.0,1.0,0.0,0.0
"Buffalo, University at",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,750","$10,000","$5,000",$0,$0,$0,462.0,100.0,462.0,100.0,0.0,0.0,367.0,79.0,367.0,79.0,0.0,,246.0,53.0,246.0,53.0,0.0,,107.0,23.0,107.0,23.0,0.0,,7.0,2.0,7.0,2.0,0.0,,7.0,2.0,7.0,2.0,0.0,
California Western School of Law,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,560","$34,920","$17,460","$44,688","$20,748","$6,516",646.0,100.0,552.0,85.0,94.0,15.0,420.0,65.0,375.0,68.0,45.0,48.0,187.0,29.0,166.0,30.0,21.0,22.0,159.0,25.0,147.0,27.0,12.0,13.0,72.0,11.0,60.0,11.0,12.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0
"California-Berkeley, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,036","$27,149","$10,000",$0,$0,$0,1022.0,100.0,1022.0,100.0,0.0,0.0,976.0,95.0,976.0,95.0,0.0,,571.0,56.0,571.0,56.0,0.0,,354.0,35.0,354.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,,51.0,5.0,51.0,5.0,0.0,
"California-Davis, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$25,000","$15,000",$0,$0,$0,642.0,100.0,642.0,100.0,0.0,0.0,536.0,83.0,536.0,83.0,0.0,,274.0,43.0,274.0,43.0,0.0,,248.0,39.0,248.0,39.0,0.0,,12.0,2.0,12.0,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,
"California-Irvine, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$27,500","$20,000",$0,$0,$0,467.0,100.0,467.0,100.0,0.0,0.0,449.0,96.0,449.0,96.0,0.0,,324.0,69.0,324.0,69.0,0.0,,125.0,27.0,125.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"California-Los Angeles, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,667","$20,000","$12,500",$0,$0,$0,1006.0,100.0,1006.0,100.0,0.0,0.0,899.0,89.0,899.0,89.0,0.0,,629.0,63.0,629.0,63.0,0.0,,201.0,20.0,201.0,20.0,0.0,,39.0,4.0,39.0,4.0,0.0,,30.0,3.0,30.0,3.0,0.0,
"California-San Francisco, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000","$20,000","$10,000",$0,$0,$0,1125.0,100.0,1125.0,100.0,0.0,0.0,975.0,87.0,975.0,87.0,0.0,,757.0,67.0,757.0,67.0,0.0,,204.0,18.0,204.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,1.0,14.0,1.0,0.0,
Campbell University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,350","$17,500","$12,500",$0,$0,$0,552.0,100.0,552.0,100.0,0.0,0.0,549.0,99.0,549.0,99.0,0.0,,362.0,66.0,362.0,66.0,0.0,,176.0,32.0,176.0,32.0,0.0,,9.0,2.0,9.0,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,
Capital University Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,700","$19,000","$12,000","$18,500","$12,000","$7,125",466.0,100.0,347.0,74.0,119.0,26.0,440.0,94.0,337.0,97.0,103.0,87.0,249.0,53.0,178.0,51.0,71.0,60.0,160.0,34.0,133.0,38.0,27.0,23.0,31.0,7.0,26.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cardozo, Yeshiva University",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000","$35,000","$25,000","$40,000","$25,000","$15,000",957.0,100.0,957.0,100.0,0.0,0.0,922.0,96.0,876.0,92.0,46.0,,345.0,36.0,318.0,33.0,27.0,,551.0,58.0,530.0,55.0,21.0,,26.0,3.0,25.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,
Case Western Reserve University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,630","$40,950","$30,000",$0,$0,$0,446.0,100.0,446.0,100.0,0.0,0.0,434.0,97.0,434.0,97.0,0.0,,74.0,17.0,74.0,17.0,0.0,,360.0,81.0,360.0,81.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"Catholic University of America, The",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,820","$30,000","$15,076","$30,000","$18,750","$6,625",407.0,100.0,281.0,69.0,126.0,31.0,401.0,99.0,279.0,99.0,122.0,97.0,171.0,42.0,117.0,42.0,54.0,43.0,153.0,38.0,109.0,39.0,44.0,35.0,74.0,18.0,51.0,18.0,23.0,18.0,3.0,1.0,2.0,1.0,1.0,1.0
Chapman University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,500","$56,360","$36,050","$44,625","$40,000","$14,714",433.0,100.0,433.0,100.0,0.0,0.0,184.0,42.0,184.0,42.0,0.0,,30.0,7.0,30.0,7.0,0.0,,112.0,26.0,112.0,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,,42.0,10.0,42.0,10.0,0.0,
Charleston School of Law,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,000","$18,000","$12,000",$0,$0,$0,656.0,100.0,656.0,100.0,0.0,0.0,599.0,91.0,599.0,91.0,0.0,,347.0,53.0,347.0,53.0,0.0,,252.0,38.0,252.0,38.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
