SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
AVE MARIA SCHOOL OF LAW,2022,323.0,100.0,323.0,100.0,0.0,0.0,250.0,77.0,250.0,77.0,0.0,0.0,88.0,27.0,88.0,27.0,0.0,0.0,150.0,46.0,150.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,12.0,4.0,0.0,0.0,"47,000","30,275","21,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALTIMORE, UNIVERSITY OF",2022,722.0,100.0,530.0,73.0,192.0,27.0,433.0,60.0,327.0,62.0,106.0,55.0,296.0,41.0,226.0,43.0,70.0,36.0,135.0,19.0,100.0,19.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,"23,500","15,000","9,750","15,000","8,750","5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRY UNIVERSITY,2022,771.0,100.0,583.0,76.0,188.0,24.0,645.0,84.0,454.0,78.0,191.0,102.0,447.0,58.0,310.0,53.0,137.0,73.0,198.0,26.0,144.0,25.0,54.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"25,000","17,000","10,750","18,500","11,625","3,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLOR UNIVERSITY,2022,512.0,100.0,512.0,100.0,0.0,0.0,420.0,82.0,420.0,82.0,0.0,0.0,189.0,37.0,189.0,37.0,0.0,0.0,186.0,36.0,186.0,36.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,43.0,8.0,43.0,8.0,0.0,0.0,"58,840","32,000","14,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT UNIVERSITY,2022,378.0,100.0,378.0,100.0,0.0,0.0,227.0,60.0,227.0,60.0,0.0,0.0,24.0,6.0,24.0,6.0,0.0,0.0,101.0,27.0,101.0,27.0,0.0,0.0,102.0,27.0,102.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"48,660","36,495","24,330",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON COLLEGE,2022,861.0,100.0,861.0,100.0,0.0,0.0,785.0,91.0,785.0,91.0,0.0,0.0,655.0,76.0,655.0,76.0,0.0,0.0,123.0,14.0,123.0,14.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,000","20,000","15,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON UNIVERSITY,2022,796.0,100.0,796.0,100.0,0.0,0.0,701.0,88.0,701.0,88.0,0.0,0.0,264.0,33.0,264.0,33.0,0.0,0.0,292.0,37.0,292.0,37.0,0.0,0.0,143.0,18.0,143.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,"43,000","33,000","25,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHAM YOUNG UNIVERSITY,2022,383.0,100.0,383.0,100.0,0.0,0.0,341.0,89.0,341.0,89.0,0.0,0.0,110.0,29.0,110.0,29.0,0.0,0.0,59.0,15.0,59.0,15.0,0.0,0.0,42.0,11.0,42.0,11.0,0.0,0.0,130.0,34.0,130.0,34.0,0.0,0.0,"17,583","14,208","5,229",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN LAW SCHOOL,2022,1171.0,100.0,1070.0,91.0,101.0,9.0,1078.0,92.0,988.0,92.0,90.0,89.0,531.0,45.0,497.0,46.0,34.0,34.0,515.0,44.0,462.0,43.0,53.0,52.0,32.0,3.0,29.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"40,000","30,000","23,700","34,000","25,000","15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA WESTERN SCHOOL OF LAW,2022,687.0,100.0,525.0,76.0,162.0,24.0,410.0,60.0,314.0,60.0,96.0,59.0,144.0,21.0,106.0,20.0,38.0,23.0,142.0,21.0,111.0,21.0,31.0,19.0,124.0,18.0,97.0,18.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,"56,080","39,256","22,125","41,840","20,920","9,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
