School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
Duquesne University,2025,,,,,95.12%,,,,95.12%,,,,,,,,,,,,,,129.0,123.0,117.0,6.0,0.0,0.0
Elon University,2025,,,,,87.10%,,,,87.10%,,,,,,,,,,,,,,127.0,124.0,108.0,3.0,0.0,0.0
Emory University,2025,,,,,95.40%,,,,95.40%,,,,,,,,,,,,,,248.0,239.0,228.0,0.0,9.0,0.0
Faulkner University,2025,,,,,88.10%,,,,88.10%,,,,,,,,,,,,,,45.0,42.0,37.0,0.0,3.0,0.0
Florida A&M University,2025,,,,,70.34%,,,,70.34%,,,,,,,,,,,,,,154.0,145.0,102.0,1.0,8.0,0.0
Florida International University,2025,,,,,93.59%,,,,93.59%,,,,,,,,,,,,,,158.0,156.0,146.0,0.0,2.0,0.0
Florida State University,2025,,,,,95.17%,,,,95.17%,,,,,,,,,,,,,,215.0,207.0,197.0,1.0,7.0,0.0
"Florida, University of",2025,,,,,92.56%,,,,92.56%,,,,,,,,,,,,,,219.0,215.0,199.0,0.0,4.0,0.0
Fordham University,2025,,,,,96.39%,,,,96.39%,,,,,,,,,,,,,,402.0,388.0,374.0,14.0,0.0,0.0
George Mason University,2025,,,,,93.92%,,,,93.92%,,,,,,,,,,,,,,150.0,148.0,139.0,0.0,2.0,0.0
"George Washington University, The",2025,,,,,95.43%,,,,95.43%,,,,,,,,,,,,,,566.0,547.0,522.0,6.0,13.0,0.0
Georgetown University,2025,,,,,94.15%,,,,94.15%,,,,,,,,,,,,,,655.0,632.0,595.0,23.0,0.0,0.0
Georgia State University,2025,,,,,94.71%,,,,94.71%,,,,,,,,,,,,,,191.0,170.0,161.0,18.0,3.0,0.0
"Georgia, University of",2025,,,,,98.95%,,,,98.95%,,,,,,,,,,,,,,196.0,190.0,188.0,0.0,6.0,0.0
Gonzaga University,2025,,,,,92.74%,,,,92.74%,,,,,,,,,,,,,,128.0,124.0,115.0,0.0,4.0,0.0
Harvard University,2025,,,,,99.32%,,,,99.32%,,,,,,,,,,,,,,610.0,592.0,588.0,9.0,9.0,0.0
"Hawaii, University of",2025,,,,,79.38%,,,,79.38%,,,,,,,,,,,,,,105.0,97.0,77.0,8.0,0.0,0.0
Hofstra University,2025,,,,,89.33%,,,,89.33%,,,,,,,,,,,,,,259.0,253.0,226.0,0.0,6.0,0.0
"Houston, University of",2025,,,,,92.68%,,,,92.68%,,,,,,,,,,,,,,208.0,205.0,190.0,2.0,1.0,0.0
Howard University,2025,,,,,87.32%,,,,87.32%,,,,,,,,,,,,,,160.0,142.0,124.0,0.0,18.0,0.0
"Idaho, University of",2025,,,,,78.98%,,,,78.98%,,,,,,,,,,,,,,162.0,157.0,124.0,4.0,1.0,0.0
"Illinois, University of",2025,,,,,98.41%,,,,98.41%,,,,,,,,,,,,,,129.0,126.0,124.0,0.0,3.0,0.0
"Illinois-Chicago, University of",2025,,,,,77.78%,,,,77.78%,,,,,,,,,,,,,,271.0,261.0,203.0,9.0,1.0,0.0
Indiana University-Bloomington,2025,,,,,95.21%,,,,95.21%,,,,,,,,,,,,,,175.0,167.0,159.0,0.0,8.0,0.0
Indiana University-Indianapolis,2025,,,,,84.62%,,,,84.62%,,,,,,,,,,,,,,237.0,221.0,187.0,9.0,7.0,0.0
Inter American University of Puerto Rico,2025,,,,,69.18%,,,,69.18%,,,,,,,,,,,,,,192.0,159.0,110.0,16.0,17.0,0.0
"Iowa, University of",2025,,,,,91.50%,,,,91.50%,,,,,,,,,,,,,,161.0,153.0,140.0,1.0,7.0,0.0
"Kansas, The University of",2025,,,,,96.81%,,,,96.81%,,,,,,,,,,,,,,95.0,94.0,91.0,0.0,1.0,0.0
"Kentucky, University of",2025,,,,,91.36%,,,,91.36%,,,,,,,,,,,,,,86.0,81.0,74.0,2.0,3.0,0.0
Lewis & Clark Law School,2025,,,,,86.06%,,,,86.06%,,,,,,,,,,,,,,176.0,165.0,142.0,0.0,11.0,0.0
Liberty University,2025,,,,,88.52%,,,,88.52%,,,,,,,,,,,,,,67.0,61.0,54.0,0.0,6.0,0.0
Lincoln Memorial University,2025,,,,,83.54%,,,,83.54%,,,,,,,,,,,,,,82.0,79.0,66.0,,3.0,0.0
Louisiana State University,2025,,,,,93.64%,,,,93.64%,,,,,,,,,,,,,,196.0,173.0,162.0,16.0,7.0,0.0
"Louisville, University of",2025,,,,,86.75%,,,,86.75%,,,,,,,,,,,,,,88.0,83.0,72.0,2.0,3.0,0.0
Loyola Marymount University-Los Angeles,2025,,,,,93.52%,,,,93.52%,,,,,,,,,,,,,,334.0,324.0,303.0,0.0,10.0,0.0
Loyola University-Chicago,2025,,,,,91.57%,,,,91.57%,,,,,,,,,,,,,,262.0,249.0,228.0,0.0,13.0,0.0
Loyola University-New Orleans,2025,,,,,79.87%,,,,79.87%,,,,,,,,,,,,,,152.0,149.0,119.0,1.0,2.0,0.0
"Maine, University of",2025,,,,,88.57%,,,,88.57%,,,,,,,,,,,,,,73.0,70.0,62.0,0.0,3.0,0.0
Marquette University,2025,,,,,100.00%,,,,100.00%,,,,,,,,,,,,,,187.0,1.0,1.0,0.0,1.0,185.0
"Maryland, University of",2025,,,,,89.47%,,,,89.47%,,,,,,,,,,,,,,199.0,190.0,170.0,7.0,2.0,0.0
"Massachusetts/Dartmouth, University of",2025,,,,,84.34%,,,,84.34%,,,,,,,,,,,,,,84.0,83.0,70.0,0.0,1.0,0.0
"Memphis, The University of",2025,,,,,82.86%,,,,82.86%,,,,,,,,,,,,,,115.0,105.0,87.0,0.0,10.0,0.0
Mercer University,2025,,,,,93.91%,,,,93.91%,,,,,,,,,,,,,,120.0,115.0,108.0,0.0,5.0,0.0
"Miami, University of",2025,,,,,91.14%,,,,91.14%,,,,,,,,,,,,,,367.0,350.0,319.0,0.0,17.0,0.0
Michigan State University,2025,,,,,79.82%,,,,79.82%,,,,,,,,,,,,,,229.0,218.0,174.0,,11.0,
"Michigan, University of",2025,,,,,98.70%,,,,98.70%,,,,,,,,,,,,,,322.0,308.0,304.0,1.0,13.0,0.0
"Minnesota, University of",2025,,,,,98.22%,,,,98.22%,,,,,,,,,,,,,,235.0,225.0,221.0,0.0,10.0,0.0
Mississippi College,2025,,,,,82.52%,,,,82.52%,,,,,,,,,,,,,,110.0,103.0,85.0,0.0,7.0,0.0
"Mississippi, The University of",2025,,,,,85.82%,,,,85.82%,,,,,,,,,,,,,,147.0,141.0,121.0,0.0,6.0,0.0
"Missouri, University of",2025,,,,,96.47%,,,,96.47%,,,,,,,,,,,,,,88.0,85.0,82.0,,3.0,0.0
"Missouri-Kansas City, University of",2025,,,,,87.85%,,,,87.85%,,,,,,,,,,,,,,110.0,107.0,94.0,0.0,3.0,0.0
Mitchell/Hamline School of Law,2025,,,,,85.02%,,,,85.02%,,,,,,,,,,,,,,333.0,307.0,261.0,0.0,26.0,0.0
"Montana, University of",2025,,,,,97.50%,,,,97.50%,,,,,,,,,,,,,,84.0,80.0,78.0,1.0,3.0,0.0
"Nebraska, University of",2025,,,,,91.24%,,,,91.24%,,,,,,,,,,,,,,140.0,137.0,125.0,0.0,3.0,0.0
"Nevada-Las Vegas, University of",2025,,,,,89.15%,,,,89.15%,,,,,,,,,,,,,,135.0,129.0,115.0,0.0,6.0,0.0
New England Law/Boston,2025,,,,,89.96%,,,,89.96%,,,,,,,,,,,,,,283.0,259.0,233.0,18.0,6.0,0.0
"New Hampshire, University of",2025,,,,,90.09%,,,,90.09%,,,,,,,,,,,,,,123.0,111.0,100.0,1.0,11.0,0.0
"New Mexico, The University of",2025,,,,,92.50%,,,,92.50%,,,,,,,,,,,,,,83.0,80.0,74.0,1.0,2.0,0.0
New York Law School,2025,,,,,89.31%,,,,89.31%,,,,,,,,,,,,,,366.0,346.0,309.0,20.0,0.0,0.0
New York University,2025,,,,,98.71%,,,,98.71%,,,,,,,,,,,,,,472.0,466.0,460.0,0.0,6.0,0.0
North Carolina Central University,2025,,,,,80.47%,,,,80.47%,,,,,,,,,,,,,,133.0,128.0,103.0,2.0,3.0,0.0
"North Carolina, University of",2025,,,,,94.62%,,,,94.62%,,,,,,,,,,,,,,192.0,186.0,176.0,0.0,6.0,0.0
"North Dakota, University of",2025,,,,,81.01%,,,,81.01%,,,,,,,,,,,,,,83.0,79.0,64.0,0.0,4.0,0.0
"North Texas at Dallas, University of",2025,,,,,91.43%,,,,91.43%,,,,,,,,,,,,,,109.0,105.0,96.0,0.0,4.0,0.0
Northeastern University,2025,,,,,96.74%,,,,96.74%,,,,,,,,,,,,,,187.0,184.0,178.0,0.0,3.0,0.0
Northern Illinois University,2025,,,,,82.95%,,,,82.95%,,,,,,,,,,,,,,90.0,88.0,73.0,0.0,2.0,0.0
Northern Kentucky University,2025,,,,,82.86%,,,,82.86%,,,,,,,,,,,,,,112.0,105.0,87.0,7.0,0.0,0.0
Northwestern University,2025,,,,,98.45%,,,,98.45%,,,,,,,,,,,,,,265.0,258.0,254.0,0.0,7.0,0.0
"Notre Dame, University of",2025,,,,,99.01%,,,,99.01%,,,,,,,,,,,,,,210.0,202.0,200.0,2.0,6.0,0.0
Nova Southeastern University,2025,,,,,82.93%,,,,82.93%,,,,,,,,,,,,,,169.0,164.0,136.0,0.0,5.0,0.0
Ohio Northern University,2025,,,,,82.93%,,,,82.93%,,,,,,,,,,,,,,43.0,41.0,34.0,1.0,1.0,0.0
Oklahoma City University,2025,,,,,81.16%,,,,81.16%,,,,,,,,,,,,,,142.0,138.0,112.0,3.0,1.0,
"Oklahoma, University of",2025,,,,,95.73%,,,,95.73%,,,,,,,,,,,,,,167.0,164.0,157.0,0.0,3.0,0.0
"Oregon, University of",2025,,,,,90.44%,,,,90.44%,,,,,,,,,,,,,,140.0,136.0,123.0,0.0,4.0,0.0
Pace University,2025,,,,,78.22%,,,,78.22%,,,,,,,,,,,,,,210.0,202.0,158.0,0.0,8.0,0.0
"Pacific, University of the",2025,,,,,86.01%,,,,86.01%,,,,,,,,,,,,,,148.0,143.0,123.0,3.0,2.0,0.0
Penn State Dickinson Law,2025,,,,,96.70%,,,,96.70%,,,,,,,,,,,,,,217.0,212.0,205.0,3.0,2.0,0.0
"Pennsylvania, University of",2025,,,,,97.66%,,,,97.66%,,,,,,,,,,,,,,260.0,256.0,250.0,0.0,4.0,0.0
Pepperdine University,2025,,,,,91.12%,,,,91.12%,,,,,,,,,,,,,,176.0,169.0,154.0,0.0,7.0,0.0
"Pittsburgh, University of",2025,,,,,91.80%,,,,91.80%,,,,,,,,,,,,,,124.0,122.0,112.0,0.0,2.0,0.0
Pontifical Catholic University of Puerto Rico,2025,,,,,62.03%,,,,62.03%,,,,,,,,,,,,,,82.0,79.0,49.0,3.0,0.0,0.0
"Puerto Rico, University of",2025,,,,,77.61%,,,,77.61%,,,,,,,,,,,,,,146.0,134.0,104.0,0.0,12.0,0.0
Quinnipiac University,2025,,,,,78.81%,,,,78.81%,,,,,,,,,,,,,,130.0,118.0,93.0,5.0,7.0,
Regent University,2025,,,,,94.62%,,,,94.62%,,,,,,,,,,,,,,97.0,93.0,88.0,1.0,3.0,0.0
"Richmond, University of",2025,,,,,93.55%,,,,93.55%,,,,,,,,,,,,,,126.0,124.0,116.0,0.0,2.0,0.0
Roger Williams University,2025,,,,,76.16%,,,,76.16%,,,,,,,,,,,,,,158.0,151.0,115.0,0.0,7.0,0.0
Rutgers University,2025,,,,,85.56%,,,,85.56%,,,,,,,,,,,,,,390.0,374.0,320.0,14.0,2.0,0.0
Saint Louis University,2025,,,,,88.33%,,,,88.33%,,,,,,,,,,,,,,184.0,180.0,159.0,0.0,4.0,0.0
Samford University,2025,,,,,94.52%,,,,94.52%,,,,,,,,,,,,,,149.0,146.0,138.0,1.0,2.0,0.0
"San Diego, University of",2025,,,,,91.63%,,,,91.63%,,,,,,,,,,,,,,245.0,239.0,219.0,0.0,6.0,0.0
"San Francisco, University of",2025,,,,,83.09%,,,,83.09%,,,,,,,,,,,,,,140.0,136.0,113.0,0.0,4.0,0.0
Santa Clara University,2025,,,,,83.10%,,,,83.10%,,,,,,,,,,,,,,217.0,213.0,177.0,,4.0,
Seattle University,2025,,,,,89.64%,,,,89.64%,,,,,,,,,,,,,,205.0,193.0,173.0,7.0,5.0,0.0
Seton Hall University,2025,,,,,92.23%,,,,92.23%,,,,,,,,,,,,,,197.0,193.0,178.0,1.0,3.0,0.0
"South Carolina, University of",2025,,,,,86.67%,,,,86.67%,,,,,,,,,,,,,,202.0,195.0,169.0,5.0,2.0,0.0
"South Dakota, University of",2025,,,,,92.31%,,,,92.31%,,,,,,,,,,,,,,82.0,78.0,72.0,0.0,4.0,0.0
South Texas College of Law Houston,2025,,,,,93.36%,,,,93.36%,,,,,,,,,,,,,,276.0,271.0,253.0,4.0,1.0,
"Southern California, University of",2025,,,,,95.73%,,,,95.73%,,,,,,,,,,,,,,212.0,211.0,202.0,0.0,1.0,0.0
Southern Illinois University,2025,,,,,78.57%,,,,78.57%,,,,,,,,,,,,,,75.0,70.0,55.0,0.0,5.0,0.0
Southern Methodist University,2025,,,,,94.40%,,,,94.40%,,,,,,,,,,,,,,271.0,268.0,253.0,0.0,3.0,0.0
Southern University,2025,,,,,75.95%,,,,75.95%,,,,,,,,,,,,,,206.0,158.0,120.0,34.0,14.0,0.0
Southwestern Law School,2025,,,,,87.83%,,,,87.83%,,,,,,,,,,,,,,308.0,304.0,267.0,2.0,2.0,0.0
St. John's University,2025,,,,,94.81%,,,,94.81%,,,,,,,,,,,,,,236.0,231.0,219.0,0.0,5.0,0.0
St. Mary's University,2025,,,,,86.67%,,,,86.67%,,,,,,,,,,,,,,229.0,225.0,195.0,0.0,4.0,0.0
St. Thomas University (Miami),2025,,,,,87.68%,,,,87.68%,,,,,,,,,,,,,,207.0,203.0,178.0,1.0,3.0,0.0
"St. Thomas, (Minneapolis) University of",2025,,,,,88.96%,,,,88.96%,,,,,,,,,,,,,,163.0,154.0,137.0,5.0,4.0,
Stanford University,2025,,,,,98.90%,,,,98.90%,,,,,,,,,,,,,,193.0,181.0,179.0,,12.0,
Stetson University,2025,,,,,85.60%,,,,85.60%,,,,,,,,,,,,,,262.0,243.0,208.0,,19.0,
Suffolk University,2025,,,,,87.75%,,,,87.75%,,,,,,,,,,,,,,326.0,302.0,265.0,19.0,5.0,0.0
Syracuse University,2025,,,,,82.45%,,,,82.45%,,,,,,,,,,,,,,207.0,188.0,155.0,0.0,19.0,0.0
Temple University,2025,,,,,94.83%,,,,94.83%,,,,,,,,,,,,,,238.0,232.0,220.0,3.0,3.0,0.0
"Tennessee, University of",2025,,,,,89.66%,,,,89.66%,,,,,,,,,,,,,,123.0,116.0,104.0,2.0,5.0,0.0
Texas A&M University,2025,,,,,95.38%,,,,95.38%,,,,,,,,,,,,,,175.0,173.0,165.0,0.0,2.0,0.0
Texas Southern University,2025,,,,,76.00%,,,,76.00%,,,,,,,,,,,,,,155.0,150.0,114.0,0.0,5.0,0.0
Texas Tech University,2025,,,,,96.03%,,,,96.03%,,,,,,,,,,,,,,129.0,126.0,121.0,0.0,3.0,0.0
"Texas, University of",2025,,,,,96.47%,,,,96.47%,,,,,,,,,,,,,,287.0,283.0,273.0,0.0,4.0,0.0
The Ohio State University,2025,,,,,95.08%,,,,95.08%,,,,,,,,,,,,,,191.0,183.0,174.0,0.0,8.0,0.0
"Toledo, The University of",2025,,,,,85.54%,,,,85.54%,,,,,,,,,,,,,,84.0,83.0,71.0,1.0,0.0,0.0
Touro University,2025,,,,,78.00%,,,,78.00%,,,,,,,,,,,,,,157.0,150.0,117.0,0.0,7.0,0.0
Tulane University,2025,,,,,90.75%,,,,90.75%,,,,,,,,,,,,,,181.0,173.0,157.0,8.0,0.0,0.0
"Tulsa, The University of",2025,,,,,85.11%,,,,85.11%,,,,,,,,,,,,,,95.0,94.0,80.0,0.0,1.0,0.0
"Utah, The University of",2025,,,,,96.08%,,,,96.08%,,,,,,,,,,,,,,103.0,102.0,98.0,0.0,1.0,0.0
Vanderbilt University,2025,,,,,95.48%,,,,95.48%,,,,,,,,,,,,,,179.0,177.0,169.0,0.0,2.0,0.0
Vermont Law School,2025,,,,,76.30%,,,,76.30%,,,,,,,,,,,,,,151.0,135.0,103.0,6.0,10.0,0.0
Villanova University,2025,,,,,91.26%,,,,91.26%,,,,,,,,,,,,,,186.0,183.0,167.0,3.0,0.0,0.0
"Virginia, University of",2025,,,,,100.00%,,,,100.00%,,,,,,,,,,,,,,327.0,326.0,326.0,1.0,0.0,0.0
Wake Forest University,2025,,,,,98.45%,,,,98.45%,,,,,,,,,,,,,,199.0,194.0,191.0,0.0,5.0,0.0
Washburn University,2025,,,,,85.22%,,,,85.22%,,,,,,,,,,,,,,115.0,115.0,98.0,0.0,0.0,0.0
Washington and Lee University,2025,,,,,95.76%,,,,95.76%,,,,,,,,,,,,,,120.0,118.0,113.0,0.0,2.0,0.0
Washington University (St. Louis),2025,,,,,96.79%,,,,96.79%,,,,,,,,,,,,,,226.0,218.0,211.0,1.0,7.0,0.0
"Washington, University of",2025,,,,,96.71%,,,,96.71%,,,,,,,,,,,,,,152.0,152.0,147.0,0.0,0.0,0.0
Wayne State University,2025,,,,,90.00%,,,,90.00%,,,,,,,,,,,,,,115.0,110.0,99.0,0.0,5.0,0.0
West Virginia University,2025,,,,,86.00%,,,,86.00%,,,,,,,,,,,,,,108.0,100.0,86.0,0.0,8.0,0.0
Western New England University,2025,,,,,86.42%,,,,86.42%,,,,,,,,,,,,,,86.0,81.0,70.0,0.0,5.0,0.0
"Western State, Westcliff University",2025,,,,,67.86%,,,,67.86%,,,,,,,,,,,,,,29.0,28.0,19.0,0.0,1.0,0.0
Widener University Commonwealth Law School,2025,,,,,75.56%,,,,75.56%,,,,,,,,,,,,,,95.0,90.0,68.0,1.0,4.0,0.0
Widener University Delaware Law School,2025,,,,,80.43%,,,,80.43%,,,,,,,,,,,,,,189.0,184.0,148.0,0.0,5.0,0.0
Willamette University,2025,,,,,81.25%,,,,81.25%,,,,,,,,,,,,,,98.0,96.0,78.0,0.0,2.0,0.0
William & Mary,2025,,,,,98.61%,,,,98.61%,,,,,,,,,,,,,,225.0,216.0,213.0,4.0,5.0,0.0
"Wisconsin, University of",2025,,,,,85.71%,,,,99.55%,,,,,,,,,,,,,,221.0,7.0,6.0,0.0,1.0,213.0
"Wyoming, University of",2025,,,,,86.96%,,,,86.96%,,,,,,,,,,,,,,71.0,69.0,60.0,1.0,1.0,0.0
Yale University,2025,,,,,99.01%,,,,99.01%,,,,,,,,,,,,,,209.0,203.0,201.0,0.0,6.0,0.0
*Alternative Pathways refers to graduates who secure non-temporary licensure without sitting for a bar exam.,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
